condicion,asset,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate
vwap_ruptura_alza,BTC,24,IS,1067,0.0012325798263564888,0.5182755388940956,0.00027916210846818404,0.5131217577052182
vwap_ruptura_alza,BTC,24,OOS,379,0.0024499148297810846,0.5646437994722955,0.0012744741169645856,0.5287620800736309
vwap_ruptura_alza,BTC,72,IS,1067,0.0024387106087638347,0.5379568884723523,0.0009899981143431534,0.5225053402502289
vwap_ruptura_alza,BTC,72,OOS,379,0.004151426152083518,0.5329815303430079,0.0035416010329040472,0.5339692880409492
vwap_ruptura_baja,BTC,4,IS,1066,-0.00010370565741013166,0.47654784240150094,-5.6233268463999304e-05,0.4922184925236497
vwap_ruptura_baja,BTC,4,OOS,383,-0.0011924365468558933,0.4308093994778068,-0.00020311177717099167,0.49656436097114065
vwap_ruptura_baja,BTC,8,IS,1066,-0.000427534345662776,0.4709193245778612,-0.00010659789793928578,0.4871833994507171
vwap_ruptura_baja,BTC,8,OOS,382,-0.0017345265529721348,0.4607329842931937,-0.00040288676370768225,0.48532783127005963
vwap_ruptura_baja,BTC,24,IS,1066,-0.0017925515247238337,0.4540337711069418,-0.00027916210846818404,0.4868782422947818
vwap_ruptura_baja,BTC,24,OOS,379,-0.002249257995121638,0.44854881266490765,-0.0012744741169645856,0.4712379199263691
vwap_ruptura_baja,BTC,72,IS,1066,-0.002089785294960818,0.4652908067542214,-0.0009899981143431534,0.4774946597497711
vwap_ruptura_baja,BTC,72,OOS,378,-0.004501932910303336,0.4497354497354497,-0.0035416010329040472,0.4660307119590507
poc_zona,BTC,4,IS,258,-0.0003344183375915748,0.5193798449612403,5.6233268463999304e-05,0.5077815074763503
poc_zona,BTC,4,OOS,98,0.001038371646747392,0.4897959183673469,0.00020311177717099167,0.5032065964269354
poc_zona,BTC,8,IS,258,-0.00020517701437292187,0.5348837209302325,0.00010659789793928578,0.5128166005492829
poc_zona,BTC,8,OOS,98,0.0011167582066334586,0.46938775510204084,0.00040288676370768225,0.5146721687299404
poc_zona,BTC,24,IS,258,-2.0878984532633942e-05,0.49612403100775193,0.00027916210846818404,0.5131217577052182
poc_zona,BTC,24,OOS,98,0.005450995472494599,0.6020408163265306,0.0012744741169645856,0.5287620800736309
poc_zona,BTC,72,IS,258,-0.0013711241722427923,0.47674418604651164,0.0009899981143431534,0.5225053402502289
poc_zona,BTC,72,OOS,98,0.009910086373846203,0.5918367346938775,0.0035416010329040472,0.5339692880409492
fib_0.618,BTC,4,IS,291,-0.0004951715847405899,0.49140893470790376,9.136682846539644e-05,0.49382056759231
fib_0.618,BTC,4,OOS,92,0.0008796658114605937,0.532608695652174,0.0004073539547138621,0.5073293632615666
fib_0.618,BTC,8,IS,291,-9.110833942363346e-05,0.47766323024054985,0.0001835025975602454,0.4898535245651511
fib_0.618,BTC,8,OOS,92,0.0017651868749930702,0.5543478260869565,0.0008157439077578313,0.5073360843649702
fib_0.618,BTC,24,IS,291,-0.000453408126263218,0.5085910652920962,0.0005423819971378424,0.49641440341776016
fib_0.618,BTC,24,OOS,92,0.005115956715858393,0.5869565217391305,0.0023929837678227685,0.5020708697653015
fib_0.618,BTC,72,IS,291,0.0015116158294000205,0.5463917525773195,0.0012708842449191638,0.5019835215135795
fib_0.618,BTC,72,OOS,92,0.014833212145841972,0.6413043478260869,0.0072422631680898655,0.5423452768729642
fib_0.786,BTC,4,IS,202,0.0008384234913484026,0.5594059405940595,9.136682846539644e-05,0.49382056759231
fib_0.786,BTC,4,OOS,50,0.0004632309125242928,0.66,0.0004073539547138621,0.5073293632615666
fib_0.786,BTC,8,IS,202,0.000861946261695729,0.5445544554455446,0.0001835025975602454,0.4898535245651511
fib_0.786,BTC,8,OOS,50,0.0018812810173224137,0.66,0.0008157439077578313,0.5073360843649702
fib_0.786,BTC,24,IS,202,0.0004114326618191455,0.5841584158415841,0.0005423819971378424,0.49641440341776016
fib_0.786,BTC,24,OOS,50,0.008096317885319582,0.56,0.0023929837678227685,0.5020708697653015
fib_0.786,BTC,72,IS,202,0.008989927844796219,0.5792079207920792,0.0012708842449191638,0.5019835215135795
fib_0.786,BTC,72,OOS,50,0.010349938334217369,0.54,0.0072422631680898655,0.5423452768729642
rsi_sobrecompra,ETH,4,IS,202,-0.0026325935183270904,0.4752475247524752,1.63580669580798e-06,0.49351442087593467
rsi_sobrecompra,ETH,4,OOS,67,-0.0024095882287191775,0.5671641791044776,-0.0003238872216163553,0.4923253150057274
rsi_sobrecompra,ETH,8,IS,202,-0.0037927017139531482,0.4306930693069307,3.828497821267529e-06,0.48863116130016787
rsi_sobrecompra,ETH,8,OOS,67,-0.004295405013236445,0.582089552238806,-0.0006536848177387536,0.48543911946801194
rsi_sobrecompra,ETH,24,IS,202,-0.004508121601356848,0.4752475247524752,4.117677248005448e-05,0.494658934839005
rsi_sobrecompra,ETH,24,OOS,67,-0.002645174483911923,0.6417910447761194,-0.0020373633265128306,0.47479861910241655
rsi_sobrecompra,ETH,72,IS,202,-0.0021983503518990563,0.5297029702970297,-0.0002736213795651685,0.4975583702121166
