asset,grp,period,cagr_strat,cagr_bh,sharpe_strat,sharpe_bh,maxdd_strat,maxdd_bh,exposure,n_trades
UPS,Accion,OOS,0.05865402857038293,0.02402701384556627,0.3757331136640009,0.23157649012588002,-0.2502720463604232,-0.5791772099604242,0.4776839565741858,27
USB,Accion,IS,0.08636136128892202,0.12517143319084445,0.6256754097419392,0.669680386887667,-0.18685291569972617,-0.2853913142598339,0.4014308426073132,44
USB,Accion,OOS,0.024485220548622788,0.055108907483252034,0.2270044112207681,0.3287312507600556,-0.49438391574267704,-0.5213488839058102,0.44813027744270206,25
VZ,Accion,IS,0.091360384672033,0.1225155548690815,0.7962013738603996,0.7749464395003901,-0.13100874107788707,-0.20106812748643088,0.428060413354531,46
VZ,Accion,OOS,0.08468840086091589,0.019249337292072122,0.5707435183684293,0.19640510124199198,-0.26894570444713994,-0.4120711066250019,0.4873341375150784,38
WFC,Accion,IS,0.06875413415646725,0.09860233596563717,0.48177232160552436,0.5115995496264049,-0.2053719338508505,-0.3217955563211198,0.39864864864864863,44
WFC,Accion,OOS,0.06513934947716349,0.10457637732218039,0.36076256918683136,0.4544255189847908,-0.5282629936377663,-0.5927557065272759,0.4692400482509047,28
WMT,Accion,IS,-0.005664455293609372,0.10897949898390347,0.008351219551406554,0.6862059342850277,-0.34149679371478936,-0.36435193900233853,0.3748012718600954,26
WMT,Accion,OOS,0.13763596294808278,0.18674094283294118,0.8160278006210581,0.8519331611648411,-0.20187547189572663,-0.2573966777647194,0.4505428226779252,31
XLE,ETF,IS,-0.022757781534979316,0.02978491525015592,-0.0573859773642482,0.2441049616197823,-0.5352482529739314,-0.4674573830403508,0.428060413354531,29
XLE,ETF,OOS,0.08533788154112698,0.14956693721760006,0.4410797952246235,0.5828488146011662,-0.5769103399269229,-0.6060456279864922,0.4439083232810615,32
XLF,ETF,IS,0.09095776504045894,0.11858537972647842,0.6694651615315892,0.667914394761172,-0.26277195258953967,-0.3367734523970405,0.40262321144674085,46
XLF,ETF,OOS,0.05303758751683341,0.12029221168706838,0.3503579183702287,0.5857995661760066,-0.4023745582188115,-0.4286253941216126,0.4620024125452352,27
XLI,ETF,IS,0.07802302278940987,0.13450123161445227,0.6266964944418469,0.8179904283002951,-0.23269896872358442,-0.2583834990082774,0.42408585055643877,43
XLI,ETF,OOS,0.07425831279531647,0.1506073299139843,0.4761171665444808,0.7416570484705737,-0.39603105305244746,-0.42334107893145445,0.42882991556091676,29
XLK,ETF,IS,0.11730632274635155,0.1660538676597103,0.8944303382688479,0.9891803568064337,-0.2254067816366372,-0.23784937347767077,0.393879173290938,55
XLK,ETF,OOS,0.07862363473107847,0.24944289722695334,0.4362326417154691,0.9346732763763699,-0.29512634732809595,-0.3355907062526021,0.4583835946924005,24
XLP,ETF,IS,0.06431390310040586,0.11985727524165823,0.7646873356467346,1.0210395820976415,-0.133964514935627,-0.16104353888270595,0.37201907790143085,46
XLP,ETF,OOS,0.03717527535351217,0.07452301533793437,0.33098702138191893,0.520760006576294,-0.2272033107518835,-0.24512263244366173,0.46682750301568154,28
